,Name,Department,EOW,Cause of Death,Date,Year,Canine,Department Name,State
10994,Deputy Sheriff Gilbert W. Gallagher,"Whitman County Sheriff's Department, WA","Sunday, April 17, 1949",Gunfire,1949-04-17,1949,False,Whitman County Sheriff's Department, WA
10995,Police Officer Elbert R. Claar,"Pullman Police Department, WA","Sunday, April 17, 1949",Gunfire,1949-04-17,1949,False,Pullman Police Department, WA
10996,Patrolman Bill J. Mahoney,"Texas Department of Public Safety - Texas Highway Patrol, TX","Monday, April 18, 1949",Automobile accident,1949-04-18,1949,False,Texas Department of Public Safety - Texas Highway Patrol, TX
10997,Police Officer Boss Johnson,"Welch Police Department, WV","Wednesday, April 20, 1949",Gunfire,1949-04-20,1949,False,Welch Police Department, WV
10998,Deputy Sheriff Travis Milton French,"McDowell County Sheriff's Department, WV","Wednesday, April 20, 1949",Gunfire,1949-04-20,1949,False,McDowell County Sheriff's Department, WV
10999,Investigator Merimon H. Barnes,"United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit, US","Sunday, April 24, 1949",Heart attack,1949-04-24,1949,False,United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit, US
11000,Undersheriff Milton L. Davis,"Dickinson County Sheriff's Office, KS","Sunday, April 24, 1949",Gunfire,1949-04-24,1949,False,Dickinson County Sheriff's Office, KS
11001,Sheriff Elmer F. Davis,"Dickinson County Sheriff's Office, KS","Sunday, April 24, 1949",Gunfire,1949-04-24,1949,False,Dickinson County Sheriff's Office, KS
11002,Sheriff Walter Albert Salzsiedler,"Campbell County Sheriff's Office, SD","Monday, April 25, 1949",Heart attack,1949-04-25,1949,False,Campbell County Sheriff's Office, SD
11003,Patrolman Robert Eley Mack,"Forty Fort Borough Police Department, PA","Tuesday, April 26, 1949",Heart attack,1949-04-26,1949,False,Forty Fort Borough Police Department, PA
11004,Patrolman Robert H. Good,"Buffalo Police Department, NY","Wednesday, May 11, 1949",Motorcycle accident,1949-05-11,1949,False,Buffalo Police Department, NY
11005,"Detective Sergeant J. W. ""Tommy"" Milton","Los Angeles Police Department, CA","Monday, May 16, 1949",Gunfire,1949-05-16,1949,False,Los Angeles Police Department, CA
11006,Chief Deputy Sheriff Max Daniels,"Avery County Sheriff's Office, NC","Monday, May 16, 1949",Vehicular assault,1949-05-16,1949,False,Avery County Sheriff's Office, NC
11007,Patrolman Harold Emmerson Klinkefus,"Iowa State Patrol, IA","Wednesday, May 18, 1949",Automobile accident,1949-05-18,1949,False,Iowa State Patrol, IA
11008,"Patrolman Fred A. Babcock, Jr.","Richfield Department of Public Safety, MN","Saturday, June 4, 1949",Gunfire,1949-06-04,1949,False,Richfield Department of Public Safety, MN
11009,Police Officer John Leonard Shaw,"Breckenridge Police Department, TX","Saturday, June 11, 1949",Gunfire,1949-06-11,1949,False,Breckenridge Police Department, TX
11010,Patrolman William J. Hickey,"Schenectady Police Department, NY","Friday, June 17, 1949",Motorcycle accident,1949-06-17,1949,False,Schenectady Police Department, NY
11011,Corporal Arthur M. Hurst,"West Virginia State Police, WV","Friday, June 17, 1949",Drowned,1949-06-17,1949,False,West Virginia State Police, WV
11012,Sheriff Gerald Lee Uptegraft,"Blackford County Sheriff's Office, IN","Wednesday, June 22, 1949",Gunfire,1949-06-22,1949,False,Blackford County Sheriff's Office, IN
11013,Police Officer Thomas J. Mathews,"Abington Township Police Department, PA","Wednesday, June 29, 1949",Gunfire,1949-06-29,1949,False,Abington Township Police Department, PA
11014,Police Officer Norman C. Philbrick,"Auburn Police Department, ME","Thursday, July 7, 1949",Struck by vehicle,1949-07-07,1949,False,Auburn Police Department, ME
11015,Special Agent George Richard Kebort,"Southern Pacific Railroad Police Department, RR","Friday, July 8, 1949",Gunfire,1949-07-08,1949,False,Southern Pacific Railroad Police Department, RR
11016,Patrolman Morris D. Lopez,"Tampa Police Department, FL","Saturday, July 9, 1949",Gunfire,1949-07-09,1949,False,Tampa Police Department, FL
11017,Patrolman Marlin L. Evans,"Long Beach Police Department, CA","Sunday, July 17, 1949",Gunfire,1949-07-17,1949,False,Long Beach Police Department, CA
11018,Guard Julius R. Cummins,"Kentucky Department of Corrections, KY","Thursday, July 21, 1949",Automobile accident,1949-07-21,1949,False,Kentucky Department of Corrections, KY
11019,Deputy Claude M. Parsons,"Georgetown County Sheriff's Office, SC","Thursday, July 21, 1949",Vehicle pursuit,1949-07-21,1949,False,Georgetown County Sheriff's Office, SC
11020,Detective Harry W. Vosper,"Seattle Police Department, WA","Thursday, July 21, 1949",Gunfire,1949-07-21,1949,False,Seattle Police Department, WA
11021,Police Officer Joseph Seawell Gunnell,"West Columbia Police Department, SC","Friday, July 22, 1949",Automobile accident,1949-07-22,1949,False,West Columbia Police Department, SC
11022,Deputy Sheriff Leland E. Roper,"Fayette County Sheriff's Department, TN","Friday, July 22, 1949",Gunfire,1949-07-22,1949,False,Fayette County Sheriff's Department, TN
11023,Sheriff Everett Montgomery Gibson,"Wayne County Sheriff's Department, KY","Monday, July 25, 1949",Gunfire,1949-07-25,1949,False,Wayne County Sheriff's Department, KY
11024,Game Warden Frank A. Floyd,"South Carolina Department of Natural Resources, SC","Monday, July 25, 1949",Gunfire,1949-07-25,1949,False,South Carolina Department of Natural Resources, SC
11025,Police Officer Charlie Joseph Drawdy,"Jesup Police Department, GA","Wednesday, July 27, 1949",Automobile accident,1949-07-27,1949,False,Jesup Police Department, GA
11026,Correctional Officer Harold Bruette,"New York State Department of Correctional Services, NY","Wednesday, July 27, 1949",Fall,1949-07-27,1949,False,New York State Department of Correctional Services, NY
11027,Motorcycle Officer Walton O. Whatley,"Fort Worth Police Department, TX","Thursday, July 28, 1949",Motorcycle accident,1949-07-28,1949,False,Fort Worth Police Department, TX
11028,Sheriff William Holmes,"Fallon County Sheriff's Department, MT","Sunday, August 7, 1949",Heat exhaustion,1949-08-07,1949,False,Fallon County Sheriff's Department, MT
11029,Patrolman George Connelly,"New York City Police Department, NY","Thursday, August 11, 1949",Heart attack,1949-08-11,1949,False,New York City Police Department, NY
11030,Officer Robert Terry Mackie,"Los Banos Police Department, CA","Sunday, August 14, 1949",Gunfire,1949-08-14,1949,False,Los Banos Police Department, CA
11031,Patrolman John H. Tennyson,"Louisville Police Department, KY","Sunday, August 14, 1949",Gunfire,1949-08-14,1949,False,Louisville Police Department, KY
11032,Patrolman Chester Leo Shack,"Clarksburg Police Department, WV","Monday, August 15, 1949",Gunfire (Accidental),1949-08-15,1949,False,Clarksburg Police Department, WV
11033,Patrolman R. W. Jackson,"North Carolina Highway Patrol, NC","Saturday, September 3, 1949",Vehicle pursuit,1949-09-03,1949,False,North Carolina Highway Patrol, NC
11034,Constable Charles W. Adams,"McCurtain County Sheriff's Office, OK","Monday, September 5, 1949",Gunfire,1949-09-05,1949,False,McCurtain County Sheriff's Office, OK
11035,Constable Paul John Kisselbach,"St. Clair County Sheriff's Department, IL","Saturday, September 10, 1949",Gunfire,1949-09-10,1949,False,St. Clair County Sheriff's Department, IL
11036,Detective Allan G. Lee,"St. Paul Police Department, MN","Saturday, September 10, 1949",Gunfire,1949-09-10,1949,False,St. Paul Police Department, MN
11037,Policeman Encarnacion Perez-Aulet,"Puerto Rico Police Department, PR","Saturday, September 10, 1949",Struck by vehicle,1949-09-10,1949,False,Puerto Rico Police Department, PR
11038,Patrolman Harold Bechtelheimer,"Colorado State Patrol, CO","Wednesday, September 14, 1949",Gunfire,1949-09-14,1949,False,Colorado State Patrol, CO
11039,"Constable William Graham ""Scotty"" Mason","St. Clair County Sheriff's Department, IL","Friday, September 16, 1949",Gunfire,1949-09-16,1949,False,St. Clair County Sheriff's Department, IL
11040,Patrolman David F. Keating,"Chicago Police Department, IL","Tuesday, September 20, 1949",Gunfire,1949-09-20,1949,False,Chicago Police Department, IL
11041,Police Officer Richard E. Leyden,"Lincoln Police Department, NE","Monday, September 26, 1949",Motorcycle accident,1949-09-26,1949,False,Lincoln Police Department, NE
11042,"Patrolman Lewis Burdette ""Bud"" Lee","Blanchester Police Department, OH","Friday, September 30, 1949",Gunfire,1949-09-30,1949,False,Blanchester Police Department, OH
11043,Assistant Chief of Police Charles Malik,"Uniontown Police Department, PA","Saturday, October 1, 1949",Assault,1949-10-01,1949,False,Uniontown Police Department, PA
11044,Chief of Police Norman Lee Miller,"Hearne Police Department, TX","Thursday, October 6, 1949",Gunfire,1949-10-06,1949,False,Hearne Police Department, TX
11045,Constable Harold E. Groover,"Chambers County Constable's Office, AL","Saturday, October 8, 1949",Gunfire,1949-10-08,1949,False,Chambers County Constable's Office, AL
11046,Patrolman Raymond Endicott,"Joplin Police Department, MO","Saturday, October 8, 1949",Motorcycle accident,1949-10-08,1949,False,Joplin Police Department, MO
11047,City Marshal Dave Break,"Florence Police Department, KS","Sunday, October 9, 1949",Gunfire,1949-10-09,1949,False,Florence Police Department, KS
11048,Captain Arthur M. Beilein,"North Tonawanda Police Department, NY","Sunday, October 9, 1949",Exposure to toxins,1949-10-09,1949,False,North Tonawanda Police Department, NY
11049,Sergeant Pelham C. Scott,"Overland Police Department, MO","Friday, October 14, 1949",Gunfire,1949-10-14,1949,False,Overland Police Department, MO
11050,Special Officer Edward C. Juettmeyer,"Overland Police Department, MO","Saturday, October 15, 1949",Gunfire,1949-10-15,1949,False,Overland Police Department, MO
11051,Police Officer Thomas J. O'Neill,"Baltimore City Police Department, MD","Sunday, October 16, 1949",Duty related illness,1949-10-16,1949,False,Baltimore City Police Department, MD
11052,Patrolman Norman Juhl,"Keokuk Police Department, IA","Saturday, October 22, 1949",Gunfire,1949-10-22,1949,False,Keokuk Police Department, IA
11053,Trooper Ben R. Seaton,"Illinois State Police, IL","Monday, October 24, 1949",Automobile accident,1949-10-24,1949,False,Illinois State Police, IL
11054,Police Officer Vernon Brooks Carvin,"Carson City Police Department, NV","Monday, October 31, 1949",Heart attack,1949-10-31,1949,False,Carson City Police Department, NV
11055,Police Officer Joe Edward Kerley,"Turlock Police Department, CA","Tuesday, November 1, 1949",Struck by train,1949-11-01,1949,False,Turlock Police Department, CA
11056,Police Officer Glenn Edwin Winans,"Turlock Police Department, CA","Tuesday, November 1, 1949",Struck by train,1949-11-01,1949,False,Turlock Police Department, CA
11057,"Police Officer George Gustave Bredenberg, Jr.","Turlock Police Department, CA","Friday, November 4, 1949",Struck by train,1949-11-04,1949,False,Turlock Police Department, CA
11058,Officer David Hall,"Wilmington Police Department, NC","Monday, November 7, 1949",Motorcycle accident,1949-11-07,1949,False,Wilmington Police Department, NC
11059,Deputy J.  Elbert Hall,"Los Angeles County Sheriff's Department, CA","Monday, November 14, 1949",Vehicle pursuit,1949-11-14,1949,False,Los Angeles County Sheriff's Department, CA
11060,Sergeant Clayton Hall Yearick,"Kern County Sheriff's Department, CA","Tuesday, November 15, 1949",Aircraft accident,1949-11-15,1949,False,Kern County Sheriff's Department, CA
11061,Patrolman Thomas J. Costello,"Chicago Police Department, IL","Monday, November 21, 1949",Automobile accident,1949-11-21,1949,False,Chicago Police Department, IL
11062,Sergeant Leo Jonas Waldinger,"Erie Police Department, PA","Saturday, November 26, 1949",Gunfire,1949-11-26,1949,False,Erie Police Department, PA
11063,Patrolman Walter May,"Erie Police Department, PA","Wednesday, November 30, 1949",Gunfire,1949-11-30,1949,False,Erie Police Department, PA
11064,Sheriff Doyle Smith,"Searcy County Sheriff's Office, AR","Wednesday, December 7, 1949",Gunfire,1949-12-07,1949,False,Searcy County Sheriff's Office, AR
11065,Patrolman C. B. Avent,"North Carolina Highway Patrol, NC","Monday, December 12, 1949",Struck by vehicle,1949-12-12,1949,False,North Carolina Highway Patrol, NC
11066,Patrolman Paul H. Johnson,"Washington State Patrol, WA","Monday, December 12, 1949",Gunfire,1949-12-12,1949,False,Washington State Patrol, WA
11067,Sheriff Earl J. Kerns,"Stevens County Sheriff's Office, KS","Tuesday, December 13, 1949",Heart attack,1949-12-13,1949,False,Stevens County Sheriff's Office, KS
11068,"Policeman Marion Clifton ""Pop"" Nettles, Sr.","Walterboro Police Department, SC","Friday, December 23, 1949",Stabbed,1949-12-23,1949,False,Walterboro Police Department, SC
11069,Sergeant Joseph L. Hojak,"Johnstown Police Department, PA","Sunday, December 25, 1949",Heart attack,1949-12-25,1949,False,Johnstown Police Department, PA
11070,"Police Officer John T. Clancy, Jr.","Seattle Police Department, WA","Wednesday, December 28, 1949",Vehicular assault,1949-12-28,1949,False,Seattle Police Department, WA
11071,Detective Duke Williams,"Detroit Police Department, MI","Friday, December 30, 1949",Heart attack,1949-12-30,1949,False,Detroit Police Department, MI
11072,Police Officer George Mitchell,"Philadelphia Police Department, PA","Saturday, December 31, 1949",Gunfire,1949-12-31,1949,False,Philadelphia Police Department, PA
11073,Patrolman Alfred A. Hewett,"Massachusetts State Police, MA","Wednesday, January 4, 1950",Struck by vehicle,1950-01-04,1950,False,Massachusetts State Police, MA
11074,Chief of Police Mathew M. Mantoni,"Mendon Police Department, MA","Wednesday, January 11, 1950",Gunfire,1950-01-11,1950,False,Mendon Police Department, MA
11075,Investigator Earl Raymond Harrouff,"United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit, US","Thursday, January 12, 1950",Automobile accident,1950-01-12,1950,False,United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit, US
11076,Corporal Leroy L. LeKites,"Delaware State Police, DE","Friday, January 13, 1950",Vehicle pursuit,1950-01-13,1950,False,Delaware State Police, DE
11077,Patrolman Edward H. Carragher,"New York City Police Department, NY","Friday, January 13, 1950",Struck by vehicle,1950-01-13,1950,False,New York City Police Department, NY
11078,City Marshal Floyd James Spencer,"Boynton Police Department, OK","Sunday, January 22, 1950",Gunfire,1950-01-22,1950,False,Boynton Police Department, OK
11079,Investigator Floyd Fenwick Vincent,"Virginia Department of Alcoholic Beverage Control, VA","Sunday, January 22, 1950",Gunfire,1950-01-22,1950,False,Virginia Department of Alcoholic Beverage Control, VA
11080,Sergeant Theodore Laux,"Newark Police Department, NJ","Saturday, February 4, 1950",Automobile accident,1950-02-04,1950,False,Newark Police Department, NJ
11081,Lieutenant Albert A. Sutter,"Baltimore and Ohio Railroad Police Department, RR","Wednesday, February 8, 1950",Automobile accident,1950-02-08,1950,False,Baltimore and Ohio Railroad Police Department, RR
11082,Federal Agent Robert Francis Purcell,"United States Department of Energy - National Nuclear Security Administration - Office of Secure Transportation, US","Saturday, February 11, 1950",Aircraft accident,1950-02-11,1950,False,United States Department of Energy - National Nuclear Security Administration - Office of Secure Transportation, US
11083,Federal Agent Warren G. Fleshman,"United States Department of Energy - National Nuclear Security Administration - Office of Secure Transportation, US","Saturday, February 11, 1950",Aircraft accident,1950-02-11,1950,False,United States Department of Energy - National Nuclear Security Administration - Office of Secure Transportation, US
11084,"Trooper John Frank Bass, Jr.","Georgia State Patrol, GA","Wednesday, February 15, 1950",Struck by vehicle,1950-02-15,1950,False,Georgia State Patrol, GA
11085,Officer Anthony Barbieri,"Torrington Police Department, CT","Monday, February 20, 1950",Heart attack,1950-02-20,1950,False,Torrington Police Department, CT
11086,Investigator Oliver Holmes Cornelius,"United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit, US","Monday, February 20, 1950",Heart attack,1950-02-20,1950,False,United States Department of the Treasury - Internal Revenue Service - Alcohol Tax Unit, US
11087,Officer Jesse M. Ream,"Long Beach Police Department, CA","Tuesday, February 28, 1950",Motorcycle accident,1950-02-28,1950,False,Long Beach Police Department, CA
11088,Trooper John D. Ryan,"Michigan State Police, MI","Friday, March 3, 1950",Struck by train,1950-03-03,1950,False,Michigan State Police, MI
11089,Deputy Sheriff Jerry Stamper,"Perry County Sheriff's Office, KY","Saturday, March 4, 1950",Gunfire,1950-03-04,1950,False,Perry County Sheriff's Office, KY
11090,Staff Sergeant Fred Cole Waldrop,"Tennessee Highway Patrol, TN","Wednesday, March 8, 1950",Automobile accident,1950-03-08,1950,False,Tennessee Highway Patrol, TN
11091,Deputy Sheriff Bill Baker,"Perry County Sheriff's Office, KY","Saturday, March 11, 1950",Gunfire,1950-03-11,1950,False,Perry County Sheriff's Office, KY
11092,Chief of Police Henry L. Walton,"Fairview Park Police Department, OH","Sunday, March 12, 1950",Heart attack,1950-03-12,1950,False,Fairview Park Police Department, OH
11093,Sheriff Ottis W. Morrow,"Presidio County Sheriff's Department, TX","Sunday, March 12, 1950",Gunfire,1950-03-12,1950,False,Presidio County Sheriff's Department, TX
11094,Chief of Police Clyde Dubell,"Oakridge Police Department, OR","Sunday, March 19, 1950",Gunfire,1950-03-19,1950,False,Oakridge Police Department, OR
11095,Patrolman Raymond W. Thorne,"Jennings Police Department, MO","Saturday, March 25, 1950",Gunfire,1950-03-25,1950,False,Jennings Police Department, MO
11096,Deputy Sheriff Harry Lee Harris,"Sussex County Sheriff's Office, VA","Tuesday, March 28, 1950",Automobile accident,1950-03-28,1950,False,Sussex County Sheriff's Office, VA
11097,Police Officer Claude William Johnson,"Lamesa Police Department, TX","Wednesday, March 29, 1950",Assault,1950-03-29,1950,False,Lamesa Police Department, TX
11098,Officer Ivan E. Kelley,"Lunenburg Police Department, MA","Sunday, April 2, 1950",Vehicle pursuit,1950-04-02,1950,False,Lunenburg Police Department, MA
11099,Patrolman Louis Balzano,"New York City Police Department, NY","Monday, April 10, 1950",Drowned,1950-04-10,1950,False,New York City Police Department, NY
11100,Trooper George Branny,"Michigan State Police, MI","Wednesday, April 12, 1950",Gunfire,1950-04-12,1950,False,Michigan State Police, MI
11101,Trooper Walter R. Gawryla,"New Jersey State Police, NJ","Friday, April 21, 1950",Motorcycle accident,1950-04-21,1950,False,New Jersey State Police, NJ
11102,Patrolman Rufus H. Rodgers,"Aiken Department of Public Safety, SC","Saturday, April 22, 1950",Gunfire,1950-04-22,1950,False,Aiken Department of Public Safety, SC
11103,Chief of Police Franklin Pierce Culp,"Fostoria Police Department, OH","Sunday, April 23, 1950",Gunfire,1950-04-23,1950,False,Fostoria Police Department, OH
11104,Patrolman William B. Murphy,"Chicago Police Department, IL","Monday, April 24, 1950",Gunfire,1950-04-24,1950,False,Chicago Police Department, IL
11105,Patrol Officer Rubin A. Paine,"Marblehead Police Department, MA","Tuesday, April 25, 1950",Gunfire,1950-04-25,1950,False,Marblehead Police Department, MA
11106,Officer Alvin Foss,"California Highway Patrol, CA","Wednesday, April 26, 1950",Gunfire (Accidental),1950-04-26,1950,False,California Highway Patrol, CA
11107,Deputy Sheriff George Puckett,"Perry County Sheriff's Office, KY","Wednesday, April 26, 1950",Gunfire,1950-04-26,1950,False,Perry County Sheriff's Office, KY
11108,Motorcycle Officer Henry Norman Williams,"Beaumont Police Department, TX","Wednesday, April 26, 1950",Vehicular assault,1950-04-26,1950,False,Beaumont Police Department, TX
11109,Deputy Sheriff William A. White,"Mendocino County Sheriff's Office, CA","Saturday, April 29, 1950",Gunfire,1950-04-29,1950,False,Mendocino County Sheriff's Office, CA
11110,Police Officer James J. Donohoe,"Philadelphia Police Department, PA","Wednesday, May 3, 1950",Gunfire,1950-05-03,1950,False,Philadelphia Police Department, PA
11111,Patrolman James Ford,"Harlan Police Department, KY","Monday, May 8, 1950",Gunfire,1950-05-08,1950,False,Harlan Police Department, KY
11112,Deputy Sheriff Mose Hill,"Gulf County Sheriff's Office, FL","Wednesday, May 10, 1950",Assault,1950-05-10,1950,False,Gulf County Sheriff's Office, FL
11113,Policeman Roland E. White,"Los Angeles Police Department, CA","Thursday, May 11, 1950",Gunfire,1950-05-11,1950,False,Los Angeles Police Department, CA
11114,Patrolman Clarence L. Meenach,"Russell Police Department, KY","Thursday, May 11, 1950",Gunfire,1950-05-11,1950,False,Russell Police Department, KY
11115,Patrolman James T. Smith,"Belleville Police Department, NJ","Sunday, May 21, 1950",Motorcycle accident,1950-05-21,1950,False,Belleville Police Department, NJ
11116,Deputy Sheriff Dan Heryford,"Shasta County Sheriff's Department, CA","Thursday, May 25, 1950",Gunfire,1950-05-25,1950,False,Shasta County Sheriff's Department, CA
11117,Undersheriff Earl Sholes,"Shasta County Sheriff's Department, CA","Thursday, May 25, 1950",Gunfire,1950-05-25,1950,False,Shasta County Sheriff's Department, CA
11118,Police Officer James S. Weir,"Oakland Police Department, CA","Friday, June 2, 1950",Automobile accident,1950-06-02,1950,False,Oakland Police Department, CA
11119,Assistant Chief Louis Adamo,"Canastota Police Department, NY","Monday, June 5, 1950",Struck by vehicle,1950-06-05,1950,False,Canastota Police Department, NY
11120,Officer Robert Russell,"Petoskey Police Department, MI","Tuesday, June 6, 1950",Gunfire,1950-06-06,1950,False,Petoskey Police Department, MI
11121,Officer William C. Jordan,"Wilmington Police Department, NC","Saturday, June 10, 1950",Automobile accident,1950-06-10,1950,False,Wilmington Police Department, NC
11122,Patrolman Ira H. Burgess,"Kingsport Police Department, TN","Tuesday, June 13, 1950",Gunfire,1950-06-13,1950,False,Kingsport Police Department, TN
11123,Sergeant Ezra Sutherland,"Jefferson County Police Department, KY","Monday, June 19, 1950",Automobile accident,1950-06-19,1950,False,Jefferson County Police Department, KY
11124,Trooper Robert Edward Porter,"Virginia State Police, VA","Tuesday, June 20, 1950",Aircraft accident,1950-06-20,1950,False,Virginia State Police, VA
11125,Trooper Joseph Benjamin Thomas,"Virginia State Police, VA","Tuesday, June 20, 1950",Aircraft accident,1950-06-20,1950,False,Virginia State Police, VA
11126,Patrolman Francis A. Murray,"Bangor Police Department, ME","Wednesday, June 28, 1950",Vehicular assault,1950-06-28,1950,False,Bangor Police Department, ME
11127,City Marshal Thearel Major Johnson,"Wister Police Department, OK","Friday, June 30, 1950",Gunfire,1950-06-30,1950,False,Wister Police Department, OK
11128,Chief Deputy Sheriff Aaron Holmes Mills,"Monroe County Sheriff's Office, TN","Friday, June 30, 1950",Vehicular assault,1950-06-30,1950,False,Monroe County Sheriff's Office, TN
11129,Lieutenant Adam Yulch,"Nassau County Police Department, NY","Sunday, July 2, 1950",Fall,1950-07-02,1950,False,Nassau County Police Department, NY
11130,Police Officer Joseph G. Meglinske,"Detroit Police Department, MI","Tuesday, July 4, 1950",Gunfire,1950-07-04,1950,False,Detroit Police Department, MI
11131,Policeman Glenn H. Clark,"Los Angeles Police Department, CA","Saturday, July 8, 1950",Motorcycle accident,1950-07-08,1950,False,Los Angeles Police Department, CA
11132,Patrolman Donald E. McCormick,"Chicago Police Department, IL","Friday, July 14, 1950",Gunfire,1950-07-14,1950,False,Chicago Police Department, IL
11133,Sergeant Edward T. Crowley,"Chicago Police Department, IL","Friday, July 14, 1950",Gunfire,1950-07-14,1950,False,Chicago Police Department, IL
11134,Trooper First Class Lauren M. Ridge,"Maryland State Police, MD","Friday, July 14, 1950",Gunfire,1950-07-14,1950,False,Maryland State Police, MD
11135,Chief of Police Wesley Taylor,"Mineola Police Department, TX","Friday, July 14, 1950",Gunfire,1950-07-14,1950,False,Mineola Police Department, TX
11136,Police Officer Sanford S. Smith,"Philadelphia Police Department, PA","Saturday, July 15, 1950",Motorcycle accident,1950-07-15,1950,False,Philadelphia Police Department, PA
11137,Patrolman Alfred Loreto,"New York City Police Department, NY","Friday, July 21, 1950",Gunfire,1950-07-21,1950,False,New York City Police Department, NY
11138,Private John A. Ditkosky,"Pennsylvania State Police, PA","Monday, July 24, 1950",Automobile accident,1950-07-24,1950,False,Pennsylvania State Police, PA
11139,Patrolman Roderick O'Connor,"New York City Police Department, NY","Thursday, July 27, 1950",Motorcycle accident,1950-07-27,1950,False,New York City Police Department, NY
11140,Sheriff Roy Conway,"Pike County Sheriff's Department, KY","Friday, July 28, 1950",Gunfire,1950-07-28,1950,False,Pike County Sheriff's Department, KY
11141,Patrolman Charles F. Roof,"Tonawanda City Police Department, NY","Friday, July 28, 1950",Motorcycle accident,1950-07-28,1950,False,Tonawanda City Police Department, NY
11142,Chief Deputy Sheriff Ray A. Campbell,"St. Francis County Sheriff's Office, AR","Thursday, August 3, 1950",Gunfire,1950-08-03,1950,False,St. Francis County Sheriff's Office, AR
11143,Police Officer Charles M. Hilbert,"Baltimore City Police Department, MD","Friday, August 4, 1950",Vehicular assault,1950-08-04,1950,False,Baltimore City Police Department, MD
11144,Special Town Marshal Clemente Salazar,"Bernalillo Police Department, NM","Friday, August 11, 1950",Gunfire,1950-08-11,1950,False,Bernalillo Police Department, NM
11145,Patrolman Leroy Dunn,"Bridgeport Police Department, CT","Sunday, August 13, 1950",Motorcycle accident,1950-08-13,1950,False,Bridgeport Police Department, CT
11146,Deputy Sheriff William Calvin Dotson,"Mercer County Sheriff's Department, WV","Thursday, August 17, 1950",Gunfire,1950-08-17,1950,False,Mercer County Sheriff's Department, WV
11147,Police Officer John Edward Brunner,"Greenburgh Police Department, NY","Saturday, August 19, 1950",Animal related,1950-08-19,1950,False,Greenburgh Police Department, NY
11148,"Pilot Michael T. ""Tommy"" Box","United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US","Tuesday, August 29, 1950",Aircraft accident,1950-08-29,1950,False,United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US
11149,Trooper James H. Tingle,"Mississippi Department of Public Safety - Highway Patrol, MS","Thursday, September 7, 1950",Automobile accident,1950-09-07,1950,False,Mississippi Department of Public Safety - Highway Patrol, MS
11150,Trooper William Thomas Levinson,"Oregon State Police, OR","Thursday, September 7, 1950",Struck by train,1950-09-07,1950,False,Oregon State Police, OR
11151,Special Agent Anker M. Bangs,"United States Department of the Treasury - Bureau of Narcotics, US","Sunday, September 24, 1950",Gunfire,1950-09-24,1950,False,United States Department of the Treasury - Bureau of Narcotics, US
11152,Deputy Sheriff Rudolph F. Howell,"Ramsey County Sheriff's Department, ND","Monday, September 25, 1950",Fall,1950-09-25,1950,False,Ramsey County Sheriff's Department, ND
11153,Officer William Walter Hansen,"Velva Police Department, ND","Wednesday, September 27, 1950",Electrocuted,1950-09-27,1950,False,Velva Police Department, ND
11154,Sheriff Luther T. Bozeman,"Shelby County Sheriff's Office, AL","Friday, September 29, 1950",Vehicular assault,1950-09-29,1950,False,Shelby County Sheriff's Office, AL
11155,Patrolman Donald G. Spike,"Chippewa Falls Police Department, WI","Friday, September 29, 1950",Struck by vehicle,1950-09-29,1950,False,Chippewa Falls Police Department, WI
11156,Officer Marion C. Stalnaker,"Montgomery Police Department, AL","Sunday, October 1, 1950",Automobile accident,1950-10-01,1950,False,Montgomery Police Department, AL
11157,Trooper Dale Benjamin Courtney,"Oregon State Police, OR","Sunday, October 1, 1950",Gunfire,1950-10-01,1950,False,Oregon State Police, OR
11158,Police Officer Alexander Clarence Haddock,"El Segundo Police Department, CA","Tuesday, October 3, 1950",Gunfire,1950-10-03,1950,False,El Segundo Police Department, CA
11159,Patrolman Albert T. Sealy,"South Carolina Highway Patrol, SC","Wednesday, October 4, 1950",Automobile accident,1950-10-04,1950,False,South Carolina Highway Patrol, SC
11160,Police Officer Louis Toriello,"Philadelphia Police Department, PA","Friday, October 6, 1950",Stabbed,1950-10-06,1950,False,Philadelphia Police Department, PA
11161,Patrolman Daniel Furtado,"Massachusetts State Police, MA","Sunday, October 8, 1950",Motorcycle accident,1950-10-08,1950,False,Massachusetts State Police, MA
11162,Policeman J. B. Vose,"Los Angeles Police Department, CA","Saturday, October 21, 1950",Motorcycle accident,1950-10-21,1950,False,Los Angeles Police Department, CA
11163,"Acting Chief Anthony Bernard ""Tony"" Nelson","Powell Police Department, WY","Sunday, October 29, 1950",Heart attack,1950-10-29,1950,False,Powell Police Department, WY
11164,Chief of Police L.C. Aurelio Ismael Miranda-Rivera,"Puerto Rico Police Department, PR","Monday, October 30, 1950",Gunfire,1950-10-30,1950,False,Puerto Rico Police Department, PR
11165,Policeman Jesus Feliciano-Rivera,"Puerto Rico Police Department, PR","Monday, October 30, 1950",Gunfire,1950-10-30,1950,False,Puerto Rico Police Department, PR
